gene_name,Model1_count,Model2_count,Model3_count,Positive1_count,Positive2_count,Positive3_count
Lig1,1760,1386,2347,970,1238,816
Gm4303,0,0,0,0,0,0
Gm12897,0,0,0,0,0,0
Gm11359,0,0,0,0,0,0
Olfr122,0,0,0,0,0,0
Scgb1b26-ps,0,0,0,0,0,0
Gm43418,0,0,0,0,0,0
Olfr67,0,0,0,0,3,0
Mis18bp1,3089,3445,2894,2823,3232,2542
Rtp2,0,1,0,0,0,0
Fbxo28,687,575,610,565,708,575
1700012C14Rik,0,0,0,0,0,0
4933423P22Rik,0,1,2,0,1,0
Gm15691,0,0,0,0,0,0
Gm16686,1,0,0,0,0,0
Gm12162,0,0,0,0,0,0
Gm13335,0,0,0,0,0,0
Gm11851,0,0,0,0,0,0
9430073C21Rik,0,0,0,0,0,0
Gm42656,0,0,0,0,0,0
Gm10424,0,0,0,0,0,0
Gm42790,0,0,0,0,0,0
Kif13b,1250,1073,1221,1783,2055,1463
4930578M01Rik,0,0,4,3,1,0
Gm3111,0,0,0,0,0,0
Bloc1s2,364,350,319,159,187,109
Gm26529,15,9,7,13,3,7
Trbv12-1,0,0,0,0,0,0
Fmo6,0,0,0,0,0,0
Gm6619,0,0,0,0,0,0
AC140325.3,0,0,0,0,0,0
Ighv5-17,6,0,2,0,0,0
Trav4n-3,0,0,0,0,0,0
Gm16501,0,0,0,0,0,0
1700010B08Rik,0,2,0,0,0,0
Gm21760,0,0,0,0,0,0
Gm37176,42,43,20,78,124,83
Gm17032,0,0,0,0,0,0
Gm37237,0,0,0,0,0,0
Gm37238,407,387,363,542,450,380
Gm37178,0,0,0,0,0,0
Gm35134,0,0,0,0,0,0
Gm37179,0,0,0,0,0,0
Gm37180,0,0,1,0,0,0
Gm37181,0,0,0,0,1,0
Cenpb,1103,547,1091,533,554,397
Fmr1nb,0,0,0,0,2,1
Zmat1,118,122,87,112,114,126
RP24-87G12.2,4,0,0,2,0,1
Zfp112,30,47,39,36,34,47
Gm9887,0,0,1,2,0,0
Amotl1,90,49,70,66,59,47
RP24-363O21.9,0,0,0,0,0,0
RP24-127M20.8,0,3,0,2,6,0
RP23-205F19.4,0,0,0,0,0,0
Prpmp5,0,0,0,0,0,0
RP23-207N15.7,42,25,42,65,42,36
RP23-281H4.11,6,8,6,8,11,7
Ugt2b5,0,0,0,0,0,0
9430016H08Rik,382,311,347,308,289,234
Gm36551,8,12,11,42,35,19
Gm43011,633,607,525,710,718,560
Gm43111,9,14,5,22,9,7
Gm19089,0,0,0,0,0,0
Ksr1,629,535,1087,569,770,441
RP23-8M3.5,0,0,0,0,0,0
4933438K21Rik,14,3,3,11,7,10
Gpx3,287,304,502,276,314,187
Olfr745,0,0,0,0,0,0
Gm14104,0,0,0,0,0,1
Gm3650,71,81,80,72,101,60
Zfp143,436,461,573,466,556,448
Ppy,0,0,0,0,0,0
Mpp2,25,3,5,7,13,3
Olfr1337,0,0,0,0,0,0
Spint4,2,0,0,0,0,0
Pyy,0,0,0,0,0,0
Ebpl,117,80,79,27,26,28
Kpna3,2309,2226,1987,1828,2201,1710
RP23-361A18.8,0,0,0,0,0,0
Gm29113,10,13,4,0,4,0
RP23-32A8.9,0,0,0,0,0,0
Itih4,2,0,1,1,0,0
RP24-336M17.2,0,0,0,0,0,0
RP24-462O14.2,23,23,15,53,50,39
RP23-472J11.9,0,0,0,0,0,0
RP23-172P1.4,2,8,1,3,2,2
RP24-313L21.1,0,0,0,0,0,0
RP23-477O13.1,4,0,0,0,0,0
Gm18797,0,0,0,0,0,0
RP23-32A8.6,0,0,0,0,2,2
RP23-470G18.4,0,0,0,0,0,0
RP23-470P9.2,0,0,0,2,0,0
RP23-361A18.17,0,0,0,0,0,0
Gm28643,0,0,0,0,0,0
1700065O20Rik,0,0,0,0,0,0
Gm29352,0,0,0,0,0,0
Gm20933,0,0,0,0,0,0
Gm28439,1147,1467,1249,1095,840,826
Gm28379,1,0,0,0,0,0
Tgif2lx1,0,0,0,0,0,0
Tmem255b,0,0,1,0,0,2
Psmb5,189,136,209,48,66,40
1810037I17Rik,842,1147,1163,885,1149,886
Gm17024,57,50,45,90,88,80
Slc25a40,598,717,650,879,981,830
Gm21761,3,0,1,0,0,0
Trdd2,0,0,0,0,0,0
Rac2,5328,4692,9159,4864,7974,4178
Tssc1,382,318,367,176,209,124
Ttf2,994,793,1377,631,595,518
Vmn2r6,0,0,0,0,0,0
Gm15090,0,0,0,0,0,0
Etl4,64,53,30,43,64,28
Rfxap,114,65,134,73,74,53
Gm20844,0,0,0,0,0,0
Gm28198,3,0,0,0,0,0
Gm28746,0,0,0,0,0,0
Gm28294,0,0,0,0,0,0
Emc7,763,757,921,463,519,361
Obox7,0,0,0,0,0,0
Prr18,20,13,5,14,9,5
E130018O15Rik,0,0,0,0,0,0
4933417E11Rik,0,1,0,0,0,1
Gm28386,0,0,0,0,0,0
Gdf15,4,4,8,9,3,3
Mrps9,1071,1144,1100,720,918,870
Hist1h4c,562,710,1378,621,382,658
Pla2g16,143,106,71,56,66,41
Parp12,371,313,251,277,250,149
Skint7,0,0,0,0,0,0
Atp8b2,559,259,305,189,125,102
Mesdc2,421,430,549,254,417,157
Far1,3420,3594,3082,4529,5144,4247
Gm26597,5,3,3,0,3,0
Platr23,0,0,2,2,0,7
Tcea2,143,73,94,84,100,75
Psma1,2442,2240,2014,1237,1407,1072
Nsmce1,553,460,451,203,334,283
Gm26599,0,0,0,0,0,0
1810049J17Rik,0,0,0,0,0,0
Gm26600,0,0,0,0,0,0
Copb1,3263,3123,2809,2156,2279,1987
Zkscan2,10,2,7,1,1,0
Smyd4,230,164,228,136,124,74
Fbxw26,0,0,0,0,0,0
Tcrg-C3,0,0,0,0,0,0
Klhdc7b,0,0,1,0,0,0
Abca5,138,103,74,85,58,61
4930471C04Rik,0,4,3,4,2,0
Gm17359,0,0,0,0,0,0
Igkv1-35,0,0,0,0,0,0
Vmn1r65,0,0,0,0,0,0
Gm28780,0,0,0,0,0,0
Igkv12-38,0,0,0,0,0,0
Igkv8-30,0,1,0,0,0,0
Igkv6-32,2,7,2,1,0,0
Igkv7-33,0,0,2,0,0,0
Gm29099,0,0,0,0,0,0
2010310C07Rik,12,7,11,10,6,12
Igkv6-29,0,0,0,0,0,0
Trav17,0,4,0,0,0,0
Gm28729,0,0,1,5,0,0
Dzank1,6,5,4,2,1,0
Itih2,0,0,0,0,0,0
Aagab,1314,1030,1469,850,1010,721
Pomk,386,161,246,129,129,75
Mex3c,1191,945,1234,837,1200,979
Vmn2r16,0,0,0,0,0,0
Kcnb2,0,0,0,0,0,0
Gm17224,0,0,0,0,0,0
Gm28410,0,0,0,0,0,0
Gm6793,283,301,310,238,238,291
Gm3002,0,0,0,0,0,0
Gm21956,0,0,0,0,0,0
Zfp433,65,70,45,77,64,41
Olfr905,0,0,0,0,0,0
Obox4-ps20,0,0,0,0,0,0
1700021P04Rik,0,0,0,0,0,0
Gm6309,0,0,0,0,0,0
Gtse1,560,346,748,244,343,241
Brd1,2524,2045,2858,2198,2224,1852
Trmu,101,73,99,98,65,60
Ppara,0,1,0,0,4,1
Wnt7b,0,0,0,0,0,0
Adgra2,43,33,37,12,15,15
Brf2,99,34,88,43,45,28
Prosc,633,395,579,312,389,238
Tef,344,222,185,230,194,175
Gm3141,0,0,0,0,0,0
Thsd1,90,51,44,33,30,32
Vmn1r60,0,0,0,0,0,0
Gm18301,0,0,0,0,0,0
Fndc3a,4919,4649,6184,4730,4668,3659
St8sia1,95,54,76,333,202,297
Cmas,1293,839,1071,750,820,621
Il17rc,3,2,2,9,1,9
Gm26940,0,0,1,0,0,0
Itpr2,2226,2068,2787,4063,4604,3662
Emc3,911,767,1019,363,506,300
Creld1,200,137,196,107,91,65
Gm43162,88,113,91,183,199,140
Gm8868,0,0,0,0,0,0
Vmn1r-ps66,0,0,0,0,0,0
Vmn2r-ps82,0,0,0,0,0,0
Gm43138,26,25,29,40,30,35
Gm42696,4,11,13,25,22,23
Gm7221,12,10,3,7,3,2
Mcoln2,124,74,46,24,28,17
Gm36962,0,0,0,0,0,0
Selplg,1943,1026,1937,1156,1102,764
1190007I07Rik,53,28,50,33,32,36
Gm6420,0,0,0,0,0,0
Gm37183,143,206,129,214,223,194
Sectm1b,0,0,0,0,0,0
4930403P22Rik,1,2,0,4,1,0
Hist1h2ba,27,27,114,17,26,24
Gm37258,5,2,4,1,3,2
Gm37184,0,0,0,0,0,0
Gm16572,0,0,0,0,0,0
Bloc1s1,222,315,279,280,322,242
Gm17017,6,7,3,1,3,9
Gm37185,0,0,0,0,0,0
Ccdc120,14,7,8,2,3,8
Gripap1,1052,945,1286,1234,1305,1085
Otud5,1069,755,1142,718,857,606
Pim2,152,83,138,66,59,60
Slc35a2,135,76,157,54,125,77
Pqbp1,195,111,222,86,151,79
Timm17b,286,275,417,152,189,100
Gm37186,491,518,369,712,724,616
Zmynd12,1,0,3,0,2,0
Cited4,45,21,31,21,16,7
Pnmal2,2,1,4,1,1,1
Gltscr1,222,185,251,227,210,111
Mad2l1bp,164,99,215,78,86,47
Pcnxl4,129,111,126,73,57,37
Crebbp,3580,2534,3609,2882,3174,2659
Tfr2,77,76,74,37,48,25
Fgf12,2,2,0,0,0,0
Gigyf1,1044,873,1042,827,919,629
Gnb2,1908,1319,2246,1188,1340,916
Actl6b,0,0,0,0,0,0
Epo,8,9,10,9,3,0
Ephb4,47,32,37,35,28,11
Zfp263,690,559,703,584,573,432
Hes1,18,2,3,3,7,1
Pcolce,12,11,14,15,15,12
6030400A10Rik,158,248,199,644,694,652
Gm42705,0,0,1,0,0,0
Gm43751,2,1,0,2,0,2
Gm37187,0,0,0,0,0,0
Gm37188,37,77,39,177,182,198
Gm37189,0,0,0,0,0,0
Gm37190,0,0,0,0,0,0
Gm7897,2,0,0,0,0,0
Gm37192,2,2,0,0,0,0
5033404E19Rik,0,0,0,0,0,0
Gm37193,0,1,0,0,0,0
Gm37194,0,0,0,0,0,0
Tnfsf9,10,4,15,2,5,2
Zswim4,265,277,317,221,305,165
Sbno2,1722,1337,3213,1359,1685,956
Ostm1,1637,1744,1533,1486,1817,1421
Ndufa3,179,159,207,79,113,74
Dzip1,30,14,22,9,7,7
Sprr2i,0,0,0,0,0,0
Klhl23,753,886,883,607,819,580
Cks1b,417,263,565,128,238,135
Thbs3,3,12,11,7,3,4
Efna4,2,7,2,0,0,0
Adam15,762,572,1018,609,677,391
Zbtb7b,1263,1160,2257,1644,2047,1259
Gba,794,805,1265,472,639,389
Scamp3,502,350,583,206,248,153
9230009I02Rik,0,0,0,0,0,0
4933414I15Rik,0,0,0,0,0,0
Oip5,309,225,294,161,223,140
Hnf1b,0,0,0,0,0,0
Tpo,0,0,0,0,0,0
Sntg2,2,4,0,0,1,1
Rab10,2008,1381,2573,1299,1786,1181
Ddx52,1225,1350,956,696,754,620
Ccl11,0,0,0,1,0,0
Pxdn,53,34,49,26,21,13
Fam196b,0,1,0,0,0,0
Spdl1,523,607,681,418,522,422
Anp32-ps,35,47,59,35,28,24
Hba-a2,1,1,0,0,1,0
Hba-a1,4799,414,379,263,998,217
Kcnab3,10,7,10,0,1,2
Kdm6b,636,651,1177,869,1075,697
Chd3,1179,704,791,423,529,402
1700125H20Rik,0,0,1,0,0,0
Fer1l4,0,2,0,0,0,0
Gm15283,4,2,1,0,4,4
Olfr1264,0,0,1,0,0,1
Gm13575,0,0,0,0,0,0
Gm15650,0,0,0,0,0,0
Gm14978,0,0,0,0,0,0
Ptpn1,3130,2215,2844,1501,2041,1240
Olfr1272,0,1,0,0,0,0
Olfr1271,0,1,1,1,0,0
Olfr142,2,2,0,0,0,0
Nfatc2,384,370,412,280,451,282
Olfr1270,1,0,1,0,0,0
Olfr32,4,2,0,0,0,0
Olfr1269,0,0,0,3,0,0
Vmn1r15,0,0,0,0,0,0
Gm28725,0,0,0,0,0,0
Gm21627,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0
Gm28057,0,0,0,0,0,0
Gm6976,0,2,0,0,0,0
Gm29056,0,0,0,0,0,0
Gm28232,0,0,0,0,0,0
4930434B07Rik,0,0,0,0,0,0
Gm28928,0,0,0,0,0,0
Gm2003,0,0,0,0,0,0
Slc22a15,1030,1644,1685,2771,3061,2556
Phldb2,81,62,41,74,100,52
Chst14,80,57,90,34,37,26
Gm815,0,0,0,0,0,0
Gm14207,2,1,0,0,0,2
Letm1,874,556,1040,423,454,308
Ephx2,34,11,29,1,12,6
Gm10787,0,0,0,0,0,0
Inafm2,1157,712,1038,847,586,511
Olfr749,0,0,0,0,0,0
Rad51b,218,214,213,157,112,143
Slc39a6,435,233,418,203,251,189
Ormdl2,369,301,276,179,209,164
Gdf11,14,9,4,6,4,13
Pex11b,128,147,117,103,76,105
Gm12354,0,0,0,0,0,0
Irf6,18,12,6,0,3,0
Gm11861,0,0,0,0,0,0
Gm15728,3,7,6,6,5,1
Gm13274,0,0,0,0,0,2
Gm14396,0,0,0,0,0,0
Ncr3-ps,0,0,0,3,0,0
Batf3,7,5,7,1,2,1
Tatdn3,115,144,111,115,93,87
Angel2,1313,908,1260,937,1173,787
Traf5,161,116,108,119,93,68
9930038B18Rik,0,0,0,0,0,0
Sbk1,144,54,65,22,39,21
Gm8879,0,0,0,0,0,0
Esp18,0,0,0,0,0,0
Gm21762,3,1,0,1,2,2
Gm3685,0,0,0,0,0,0
Trav7d-4,0,0,0,0,0,0
Tyr,0,0,0,0,0,0
Ighv3-3,0,0,0,0,0,0
Ighd4-1,2,1,1,1,1,1
Aqp1,419,125,126,104,163,47
Ghrhr,0,0,0,0,0,0
Kcne4,15,21,27,6,5,0
Tfam,698,571,473,330,361,257
Hcfc2,418,472,587,519,624,440
Atp5k-ps2,0,0,1,0,0,0
Gm13890,0,0,0,0,0,0
4930555O08Rik,0,0,0,0,0,0
4930594O21Rik,0,0,0,0,0,0
Gm12022,0,0,0,2,0,0
Gm16193,0,0,0,0,0,3
Gm16122,0,0,0,0,0,0
AC125149.4,0,1,0,0,0,0
Vmn1r2,0,0,0,0,0,0
Igkv6-15,0,0,0,0,0,2
BC147527,36,25,20,28,16,15
Mup12,0,0,0,0,0,0
Trav10d,0,0,0,0,0,0
AC126035.1,0,0,0,0,0,0
Gm26954,0,0,0,0,0,0
Col6a2,52,28,45,21,23,23
Atp10a,838,470,814,502,454,345
Gm2163,0,0,0,0,0,0
Vmn2r38,0,0,0,0,0,0
Gm21637,0,0,0,0,0,0
Igkv14-111,0,0,0,0,0,0
Olfr970,0,0,0,0,0,0
Gm42939,4,2,1,1,4,0
A830031A19Rik,1,1,0,1,0,0
Gm42909,0,0,0,0,0,0
Cdk4,2248,1106,2248,742,783,467
Col25a1,9,5,10,6,3,11
H2-M3,218,194,208,109,108,77
Zfp184,61,40,19,35,42,30
Syt14,44,20,16,3,37,3
9330154K18Rik,0,0,0,0,0,0
Akap10,2056,1767,1892,1859,1889,1551
Vwa9,947,662,978,360,490,319
Zdhhc14,73,32,42,32,20,11
Batf,157,96,158,79,111,49
Olfr78,0,0,3,10,4,2
5033403F01Rik,8,4,12,3,5,2
Trim39,523,518,633,675,700,582
Kcnk13,8,19,38,9,20,10
Gm11540,0,0,0,0,0,0
Gmeb1,473,470,576,519,501,459
Sf3a3,1049,844,1203,436,547,466
Utp11l,537,449,516,333,385,311
Epb41,2001,1103,1882,1162,1909,1146
Ptpru,209,152,242,174,152,103
Gpr84,113,127,212,145,237,124
Mup6,0,0,0,0,0,0
Mup2,0,0,0,0,0,0
Mup1,0,0,0,0,0,0
Tm2d3,246,197,204,124,153,97
Mup10,0,0,0,0,0,0
Mup8,0,0,0,0,0,0
Mup9,0,0,0,0,0,0
Mup-ps4,0,0,0,0,0,0
5830417I10Rik,746,369,804,460,494,448
Naa20,484,469,428,480,474,378
Nudcd3,851,616,915,513,632,408
Kcng2,2,5,3,4,4,6
Suv420h2,780,596,1005,614,605,566
Ntng1,2,0,0,0,0,0
Hydin,0,0,0,0,0,0
Gm8279,0,0,0,0,0,0
Gm3242,0,0,0,0,0,0
Vmn2r109,0,0,0,0,0,0
Gm8334,0,0,0,0,0,0
Gm3476,0,0,0,0,0,0
Ccdc82,1155,1478,1273,1949,2279,2044
Jrkl,360,454,344,496,604,574
Surf1,339,326,402,192,281,155
Sec61g,535,711,560,514,349,325
Traj61,0,0,0,0,0,0
Wdr92,322,270,318,179,228,150
Gm15557,0,0,3,0,0,0
Ofcc1,0,0,0,0,0,0
Gm28899,0,0,0,0,0,0
Gm28351,0,0,0,0,0,0
Gm21722,0,0,0,0,0,0
Gm29166,0,0,0,0,0,0
Scgb2b30,0,0,0,0,0,0
Gm28564,0,0,0,0,0,0
Gm28423,0,0,0,0,0,0
Il17ra,3912,3064,3685,3182,3241,2577
4930505O20Rik,0,0,0,0,0,0
Gm14019,0,0,0,0,0,0
Gm15755,0,0,0,0,0,0
Gm12027,0,0,0,0,0,0
Gm15903,91,70,83,135,104,111
Gm11630,0,0,0,0,0,0
Gm16124,17,31,20,18,13,22
Gm16365,0,2,0,0,0,2
Trmt13,420,389,441,417,392,343
4930429F24Rik,4,1,6,3,3,3
Rpp38,86,50,66,29,29,30
Gm20881,0,0,0,0,0,0
Optc,0,0,0,0,0,0
Gm37198,0,0,1,0,3,2
Eml1,6,5,6,9,6,5
Olfr818,0,0,0,0,0,0
Sdhc,675,368,685,181,271,160
Ctsj,0,0,0,0,0,0
Olfr1503-ps1,0,0,0,0,0,0
Tmem245,2210,1532,1804,1528,1605,1196
Fmn1,339,398,256,153,174,102
Gm28935,3,8,2,0,0,5
Tas2r113,0,0,0,0,0,0
Olfr394,0,0,0,0,0,0
Wdfy2,506,408,500,437,517,352
Clec4f,1,0,0,0,0,2
Klra17,153,161,84,475,477,370
Gm15882,0,0,0,0,0,0
Gm16006,0,0,0,0,0,0
Ldoc1l,125,46,97,24,29,19
Tssk3,0,0,0,0,0,0
Gm16227,0,0,0,0,0,0
Gm16540,14,17,17,20,21,14
Gm16282,0,0,0,0,0,0
Gsdmc4,3,4,2,10,3,3
Pnrc1,1373,862,1471,681,1191,640
Gpr26,0,0,0,0,0,0
Gorab,169,169,195,133,159,93
Sdr9c7,0,0,0,0,0,0
Rep15,5,7,3,3,1,2
Zmym5,1017,958,568,1150,1121,971
Ighv1-21-1,0,0,0,0,0,0
8030442B05Rik,0,0,0,0,0,0
Gm37435,0,0,0,2,0,0
Bsnd,0,0,0,0,0,0
Tprn,217,137,332,93,135,119
Vma21-ps,0,1,0,0,0,0
Dctn2,911,768,1250,556,760,501
B630005N14Rik,731,718,458,923,972,837
Olfr845,0,0,0,0,0,0
Ttc4,478,710,741,325,319,470
U2af1,712,579,971,388,558,368
Pip4k2c,615,441,820,367,585,316
Pard6g,41,17,13,3,6,7
Lrguk,0,4,0,0,0,1
Cebpg,1246,1479,1302,1377,1326,1285
R3hdm1,3930,3468,3490,4276,4810,3677
Gm36966,0,0,0,0,0,0
Zc3h14,3013,3000,3144,1830,2460,1842
Gm37439,0,0,0,0,0,0
Zfp30,13,11,5,4,10,2
Clgn,29,5,0,1,0,1
E130018N17Rik,13,4,5,5,0,4
Olfr1436,0,0,0,0,0,0
Olfr262,0,0,0,0,0,0
Ccdc70,0,0,0,0,0,0
Olfr193,0,0,0,0,0,0
Atp5l,61,58,55,71,54,56
Ighv10-1,0,0,0,0,0,0
Vmn1r3,1,0,0,0,0,0
Gm16271,0,0,0,0,0,0
Gm26601,48,56,32,41,64,62
9530052C20Rik,19,21,5,25,19,24
Platr30,0,0,0,0,0,0
4631405K08Rik,0,0,0,0,0,0
Gm3532,0,0,0,0,0,0
4933405D12Rik,4,5,3,7,5,5
A930007I19Rik,27,20,44,31,30,18
Gm26602,0,0,0,0,0,0
Gm26603,0,0,0,0,0,0
Prx,67,44,104,45,86,35
Arhgap20,2,1,5,1,0,5
Podnl1,40,9,18,10,8,16
Mllt11,102,69,81,83,72,59
Cib4,0,0,0,0,0,0
Gm5113,109,70,111,46,60,62
Fbxl18,393,276,427,340,293,267
Wdr35,141,58,124,26,36,33
Lgals1,682,625,596,323,292,224
Il2rb,62,42,29,54,10,30
Spin2-ps2,0,0,0,0,0,0
Arhgap22,10,13,7,8,0,8
Gm1330,0,0,0,0,0,0
Ighv6-6,0,2,0,0,0,2
Hist1h2bc,1295,435,778,146,559,123
Ighv15-2,0,1,0,0,0,0
Cysltr1,351,341,258,191,219,141
Actl9,3,2,0,0,4,0
Fam71e2,0,0,0,0,0,0
Asf1a,451,422,436,306,336,282
Fam184a,31,15,6,21,6,9
Gm20547,0,1,0,0,2,40
Reps1,998,678,1091,644,812,548
Art2a-ps,0,3,0,0,0,1
Arfgef3,116,71,113,40,36,17
C87198,0,0,0,0,0,0
Tnfaip3,342,248,198,254,251,232
Gm32569,3,0,0,0,0,0
Gm37202,0,0,0,0,0,0
Gm37204,706,805,601,1092,1174,952
Gm37205,58,31,22,57,43,48
Gm37206,1068,1060,896,1063,862,723
Gm37209,0,0,0,0,0,0
Frrs1,3515,2983,3915,2712,2952,2396
Rtp1,0,0,0,0,0,0
Trappc8,2393,2211,2800,2233,2621,2146
Arhgap44,0,0,0,0,0,1
Gpr65,1129,1240,964,888,1009,879
Hacl1,225,256,248,120,177,110
Rnase6,494,309,175,202,100,146
Mchr1,3,4,2,0,0,0
Egr2,6,6,6,9,13,8
Gm17364,0,0,0,0,0,0
Gm4340,0,0,0,0,0,0
Aim2,1112,1017,791,653,574,550
Gm37210,0,0,0,0,0,0
Gm37211,0,0,0,0,0,0
Gm37212,140,125,74,205,124,125
E330040D14Rik,0,0,0,0,0,0
Gm33571,0,0,0,0,0,0
Gm37213,0,0,0,0,0,0
Gm37214,0,0,0,0,0,0
Gm36536,0,0,0,0,0,0
Gm37215,61,39,33,114,87,68
Gm28542,0,0,0,0,0,0
Gm28938,0,0,0,0,0,0
Gm29644,0,0,0,0,0,0
Gm20869,0,0,0,0,0,0
Gm29098,0,0,0,0,0,0
Cep135,752,782,964,822,791,758
Gng12,1341,1411,1616,1201,1392,973
Glt6d1,0,0,0,0,0,0
2310061I04Rik,102,64,129,60,65,48
Defb46,0,0,0,0,0,0
Gm6040,0,0,0,0,0,0
Gm29670,92,113,75,222,158,186
2600014E21Rik,3,0,1,0,0,0
Gm28191,0,0,0,0,0,0
6030407O03Rik,0,0,0,0,0,0
Gm29362,12,10,8,6,4,4
Gm29546,0,0,0,0,0,0
Gm28360,0,0,0,0,0,0
Gm29410,0,0,0,0,0,0
Usp17lb,0,0,0,0,0,0
Pld2,114,46,103,85,61,41
Slc46a1,19,6,9,3,9,9
Serpini1,147,126,56,91,95,101
Pdcd10,1408,1664,1147,1880,2020,1751
Sec14l1,1222,1140,1879,1228,1557,840
Ptx3,10,3,5,29,23,18
Kif1c,585,316,469,339,362,308
Gm5549,0,0,0,0,0,0
2310040G24Rik,22,19,21,17,16,11
Gm29653,0,0,0,0,0,0
Gm8220,4,5,0,0,0,0
Gm28402,0,0,0,0,0,0
Gm6820,0,0,0,0,0,0
Cytl1,0,0,0,0,0,0
Gm29009,0,0,0,0,0,0
Scgb1b28-ps,0,0,0,0,0,0
Prl7c1,0,0,0,0,0,0
Ccl20,0,0,0,0,0,0
Ipmk,1118,468,1313,387,580,589
Rxfp3,0,0,0,0,0,0
Gm26604,0,0,0,0,0,0
Gm26566,0,0,1,0,0,3
Tmcc1,2355,2727,1568,8302,7807,7270
Cops7a,558,331,595,217,261,174
Lag3,11,6,5,10,2,5
Lrrc23,0,2,1,0,0,0
Gm16712,4,6,7,1,4,1
Plxnd1,2169,1405,2471,856,1064,676
Mlf2,833,546,875,435,449,340
4833428L15Rik,0,0,0,0,0,0
Gm42636,35,30,31,36,24,34
Gm43001,0,0,0,0,0,0
Gm42899,12,14,7,14,16,15
Gm42815,4,2,2,1,0,0
5430427N15Rik,1,1,0,0,0,0
Mast3,1431,1123,1835,1262,1344,923
Taf1c,278,154,248,130,166,92
Dnaaf1,0,0,2,0,0,0
Necab2,0,0,0,0,1,0
Pbx3,211,196,169,195,265,176
Mbtps1,1747,1143,1834,693,792,616
Pik3r2,389,225,402,127,159,106
Gm42551,112,170,92,331,353,274
Gm42487,0,0,0,0,0,0
Ifi30,1042,646,1093,218,255,139
Rarres1,2,0,0,0,0,0
Kcnd2,0,0,0,0,0,0
Fam63a,701,776,913,1036,1087,860
Gm42534,0,0,0,6,2,0
Gm42552,9,11,20,45,60,70
Gm43365,140,157,124,182,181,153
Gm42567,1,3,0,0,2,2
Aqp10-ps,0,0,0,0,0,0
Gm42699,14,26,18,74,81,60
Trav7n-6,0,0,0,0,0,0
Iglj2,1,0,1,0,1,0
Gm43686,0,0,0,0,0,0
9430087B13Rik,0,0,0,0,0,0
Gm43137,1,0,0,0,0,2
A530041M06Rik,116,116,112,161,181,131
Mypop,2,6,2,5,0,1
Zfp35,1501,1296,1232,715,893,703
Gm8995,6161,5217,3717,8973,6430,6910
Slc25a48,0,0,0,0,0,0
Cts3,0,0,0,0,0,0
Traf1,41,17,14,17,17,12
Hc,0,7,4,16,28,23
Phf19,386,311,490,308,308,242
Zeb2,10429,10771,6914,8941,6585,5815
Cutal,3,0,4,0,0,0
Ctxn2,0,0,0,0,0,0
Gsn,1401,1205,1758,1842,3947,1798
Rab14,5742,5689,5784,5583,5964,4978
AI606181,331,233,324,203,250,228
4930426D05Rik,0,0,0,0,0,0
Gm37218,0,0,0,0,0,0
Tmem212,0,0,0,0,0,0
Lor,0,0,0,0,0,0
Gm37219,1,2,1,0,0,0
Gm37220,0,0,0,0,0,0
Gm37221,0,0,0,1,0,0
Gm37222,0,0,0,0,0,0
Gm37375,0,1,0,0,0,0
Gm37223,0,0,0,0,0,0
B4galt7,211,168,265,175,144,109
Prpf18,1411,1621,1918,1390,1695,1170
2010107E04Rik,413,479,382,254,280,208
A930011G23Rik,3,3,4,0,1,1
Fezf1,0,0,0,0,0,0
Aass,0,0,0,0,0,0
Ssc4d,73,52,64,53,55,59
Gm16136,0,0,0,0,0,0
Dhx9,9808,7437,8355,4939,5376,4384
Gm20045,485,461,383,600,575,555
Obfc1,252,182,155,106,99,96
Gm28139,0,0,0,0,0,0
Olfr1008,0,0,0,0,0,0
Cps1,0,0,0,0,0,0
Slc40a1,1448,1997,2210,3152,3958,2667
Wdr75,954,816,809,524,590,435
Ikzf2,586,456,238,323,326,279
Ttyh2,101,57,81,47,43,34
Sptb,1264,336,384,207,521,95
1700039I01Rik,0,0,0,0,0,0
Ighv1-41,0,0,0,2,6,2
Rab15,20,8,20,28,29,30
Fut8,2629,1938,2286,1659,2057,1361
Gm37227,0,0,0,0,0,0
1110002O04Rik,0,0,0,0,0,0
Gm37228,0,0,0,0,0,0
Pygl,4201,6095,8044,8008,11393,7948
Nin,12167,12191,16079,12001,15154,11414
Gm37229,0,0,0,0,0,0
Gm37230,0,0,0,0,0,0
Sirt4,91,54,70,48,48,50
2810474O19Rik,1644,1701,814,1462,1376,2419
1700123K08Rik,0,0,0,0,0,0
Mdfi,27,4,19,10,27,4
Chek2,592,459,750,422,494,429
Trib3,32,48,221,10,20,7
Syde1,26,13,18,14,13,13
Sbspon,5,2,1,1,0,1
Mansc1,130,77,137,39,80,35
Pxn,1911,1848,3526,2454,2928,1924
Slc14a2,3,1,0,2,2,0
Gm42987,12,11,18,56,56,65
Vwc2l,0,0,0,0,0,0
Prss21,2,0,0,0,0,0
Phldb3,156,132,219,82,113,42
Prss41,5,0,7,8,3,4
Ceacam1,912,1356,1384,2976,3152,2557
1600002H07Rik,180,139,278,198,165,137
Traf4,106,36,94,22,34,17
Serpinb3a,0,0,0,0,0,0
Dnd1,19,16,18,13,18,9
Mycs,0,0,0,0,0,0
BC049702,0,0,0,0,0,0
Ubash3a,388,256,536,274,316,245
