,TCGA-DD-A11D-01A-11R-A131-07,TCGA-DD-AACT-01A-11R-A41C-07,TCGA-G3-AAUZ-01A-11R-A38B-07,TCGA-EP-A26S-11A-12R-A16W-07
ENSG00000120948,1382,1747,2845,3099
ENSG00000120949,1,6,15,36
ENSG00000120952,3,0,39,0
ENSG00000120963,773,1610,2722,1330
ENSG00000120992,1806,1414,3117,2973
ENSG00000121005,8,14,24,9
ENSG00000121022,1207,1330,2176,1697
ENSG00000121039,3873,3046,3361,2686
ENSG00000121053,2,0,4,1
ENSG00000121057,2491,2143,3246,5314
ENSG00000121058,324,234,495,592
ENSG00000121060,523,580,768,2603
ENSG00000121064,983,944,1279,1275
ENSG00000121067,808,692,1926,1872
ENSG00000121068,288,114,261,284
ENSG00000121073,1567,1655,3055,2241
ENSG00000121075,1,2,0,0
ENSG00000121089,15,27,2,2
ENSG00000121101,6,2,25,14
ENSG00000121104,215,575,403,682
ENSG00000121152,33,35,184,8
ENSG00000121207,8,19,8,112
ENSG00000121210,1235,529,1370,1493
ENSG00000121211,39,42,285,2
ENSG00000121236,48,26,77,20
ENSG00000121270,1238,108,41,201
ENSG00000121274,393,631,221,675
ENSG00000121281,17,40,12,136
ENSG00000121289,185,241,343,211
ENSG00000121297,50,31,47,62
ENSG00000121310,5189,3923,5216,8506
ENSG00000121314,0,0,0,0
ENSG00000121316,33,71,153,350
ENSG00000121318,2,0,0,1
ENSG00000121335,0,0,0,0
ENSG00000121350,491,317,315,423
ENSG00000121351,0,3,5,1
ENSG00000121361,1342,445,3781,3749
ENSG00000121377,0,0,0,0
ENSG00000121380,7,9,35,14
ENSG00000121381,0,0,0,0
ENSG00000121388,0,0,0,0
ENSG00000121390,290,284,542,354
ENSG00000121406,10,15,13,60
ENSG00000121410,3783,4890,2040,10645
ENSG00000121413,226,60,96,413
ENSG00000121417,105,93,53,118
ENSG00000121440,14,52,30,90
ENSG00000121446,23,17,0,4
ENSG00000121454,8,21,2,10
ENSG00000121481,235,227,179,342
ENSG00000121486,695,702,457,1227
ENSG00000121542,206,163,519,447
ENSG00000121552,766,142,3280,204
ENSG00000121570,0,0,3,40
ENSG00000121577,14,7,35,21
ENSG00000121578,285,328,423,714
ENSG00000121579,2154,1193,2074,3693
ENSG00000121594,3,11,6,0
ENSG00000121621,13,25,55,1
ENSG00000121634,0,0,0,0
ENSG00000121644,910,1170,420,581
ENSG00000121653,165,47,497,424
ENSG00000121671,2817,1546,3239,3024
ENSG00000121680,1210,788,2065,2269
ENSG00000121690,163,567,1453,1425
ENSG00000121691,19309,5895,20382,46448
ENSG00000121716,80,60,28,25
ENSG00000121741,542,377,412,917
ENSG00000121742,0,1,0,0
ENSG00000121743,0,1,1,0
ENSG00000121749,719,623,820,1448
ENSG00000121753,2,8,9,0
ENSG00000121764,0,0,0,0
ENSG00000121766,278,404,582,479
ENSG00000121769,35,84,117,135
ENSG00000121774,2186,1486,2377,2813
ENSG00000121775,328,195,361,493
ENSG00000121797,31,30,74,72
ENSG00000121807,17,46,59,115
ENSG00000121851,1408,684,1499,1483
ENSG00000121853,0,1,0,0
ENSG00000121858,1679,1133,3857,7057
ENSG00000121864,322,298,487,517
ENSG00000121871,0,2,9,250
ENSG00000121879,419,187,248,663
ENSG00000121892,1670,1362,855,2641
ENSG00000121895,4,29,33,41
ENSG00000121897,218,298,184,598
ENSG00000121898,50,290,233,271
ENSG00000121900,273,275,370,149
ENSG00000121903,14,18,23,24
ENSG00000121904,17,4,6,6
ENSG00000121905,1,1,0,0
ENSG00000121931,255,139,232,378
ENSG00000121933,30,95,91,107
ENSG00000121940,839,378,343,648
ENSG00000121957,73,75,103,48
ENSG00000121964,212,171,157,305
ENSG00000121966,595,345,981,1158
ENSG00000121988,92,49,84,194
ENSG00000121989,196,159,181,515
ENSG00000122008,593,204,208,447
ENSG00000122012,5,1,1,17
ENSG00000122025,2,3,20,39
ENSG00000122026,2111,2249,14830,8334
ENSG00000122033,651,896,741,1262
ENSG00000122034,1473,1894,3081,4926
ENSG00000122035,63,142,818,326
ENSG00000122042,1406,837,609,3442
ENSG00000122043,0,0,0,0
ENSG00000122068,754,461,810,1617
ENSG00000122085,239,316,701,734
ENSG00000122121,5,64,2283,3513
ENSG00000122122,61,207,252,308
ENSG00000122126,712,880,470,506
ENSG00000122133,1,0,1,0
ENSG00000122136,0,0,0,0
ENSG00000122140,689,983,1923,2811
ENSG00000122145,0,0,0,0
ENSG00000122176,157,640,423,738
ENSG00000122180,0,1,1,0
ENSG00000122188,4,20,10,17
ENSG00000122194,65240,50734,45734,185948
ENSG00000122203,1989,3528,2275,3614
ENSG00000122218,8202,6450,3272,6195
ENSG00000122223,2,52,28,72
ENSG00000122224,8,42,50,54
ENSG00000122254,91,58,17,41
ENSG00000122257,512,744,794,1301
ENSG00000122299,695,616,404,792
ENSG00000122304,0,0,0,0
ENSG00000122335,186,150,123,154
ENSG00000122359,3922,2345,3885,4115
ENSG00000122367,8,5,8,13
ENSG00000122375,3,0,0,0
ENSG00000122376,344,600,991,1867
ENSG00000122378,6020,4316,5695,9112
ENSG00000122386,230,365,774,296
ENSG00000122390,976,972,2635,1421
ENSG00000122406,6082,7879,26184,25205
ENSG00000122417,32,45,77,67
ENSG00000122420,173,17,63,15
ENSG00000122432,21,27,15,11
ENSG00000122435,88,144,97,153
ENSG00000122477,18,3,5,6
ENSG00000122481,59,95,127,138
ENSG00000122482,524,430,485,892
ENSG00000122483,47,85,69,32
ENSG00000122484,211,221,195,287
ENSG00000122490,5342,3220,8799,10945
ENSG00000122507,200,106,162,294
ENSG00000122512,163,95,50,141
ENSG00000122515,1905,1413,1140,988
ENSG00000122543,1,0,7,0
ENSG00000122545,1666,1312,1140,2423
ENSG00000122547,1948,570,809,511
ENSG00000122548,0,0,0,0
ENSG00000122550,523,322,292,407
ENSG00000122557,1003,796,523,979
ENSG00000122565,1954,1877,2050,2490
ENSG00000122566,9700,9538,12891,12646
ENSG00000122574,266,481,17,23
ENSG00000122584,3,0,0,1
ENSG00000122585,1,0,0,1
ENSG00000122591,210,271,204,449
ENSG00000122592,0,1,0,0
ENSG00000122641,409,805,64,376
ENSG00000122642,1211,986,792,972
ENSG00000122643,195,257,231,278
ENSG00000122644,89,225,196,232
ENSG00000122674,89,26,116,84
ENSG00000122678,445,395,373,313
ENSG00000122679,276,491,1271,614
ENSG00000122687,465,492,875,820
ENSG00000122691,3,1,3,4
ENSG00000122692,847,767,1463,1917
ENSG00000122694,81,153,277,287
ENSG00000122696,148,105,136,147
ENSG00000122705,2240,2775,3900,3153
ENSG00000122707,190,496,57,220
ENSG00000122711,0,0,1,0
ENSG00000122728,0,0,0,0
ENSG00000122729,4922,2454,8885,12397
ENSG00000122733,8,7,7,10
ENSG00000122735,1,0,7,6
ENSG00000122741,856,735,721,1590
ENSG00000122756,1862,16,65,232
ENSG00000122778,11,17,8,62
ENSG00000122779,1180,854,876,1848
ENSG00000122783,523,578,422,670
ENSG00000122786,12600,5500,4166,13068
ENSG00000122787,836,177,9034,12471
ENSG00000122824,0,15,5,42
ENSG00000122852,0,0,0,0
ENSG00000122859,0,2,0,1
ENSG00000122861,210,164,132,178
ENSG00000122862,376,330,1141,2956
ENSG00000122863,104,81,169,164
ENSG00000122870,31,37,113,245
ENSG00000122872,0,0,0,0
ENSG00000122873,470,512,1499,1390
ENSG00000122877,11,56,58,2581
ENSG00000122882,592,386,610,645
ENSG00000122884,195,547,1810,2827
ENSG00000122912,579,721,697,1516
ENSG00000122952,115,216,847,51
ENSG00000122958,819,758,872,1317
ENSG00000122965,389,503,620,604
ENSG00000122966,87,86,161,177
ENSG00000122970,124,74,132,101
ENSG00000122971,1388,4148,5422,9649
ENSG00000122986,39,48,97,124
ENSG00000123009,1,7,11,12
ENSG00000123064,876,1180,2428,2354
ENSG00000123066,440,444,573,1296
ENSG00000123080,148,261,1594,143
ENSG00000123091,1646,1463,1373,3289
ENSG00000123094,211,68,104,277
ENSG00000123095,48,21,16,59
ENSG00000123096,22,20,26,78
ENSG00000123104,3234,1494,1437,6447
ENSG00000123106,387,371,315,484
ENSG00000123119,9,4,12,14
ENSG00000123124,1759,2511,2707,5614
ENSG00000123130,381,385,540,426
ENSG00000123131,3440,3125,4871,9633
ENSG00000123136,535,1422,1441,597
ENSG00000123143,405,2795,3775,2114
ENSG00000123144,2203,3279,6581,4229
ENSG00000123146,273,506,1180,1324
ENSG00000123154,134,179,348,190
ENSG00000123159,1729,2740,2398,1959
ENSG00000123165,0,0,0,0
ENSG00000123171,0,0,0,0
ENSG00000123178,328,361,276,806
ENSG00000123179,1609,1110,1358,4436
ENSG00000123191,1166,542,384,1796
ENSG00000123200,1871,555,459,1158
ENSG00000123201,0,1,0,13
ENSG00000123213,2082,709,690,2188
ENSG00000123219,27,36,57,0
ENSG00000123240,3889,2990,2259,2814
ENSG00000123243,220,6,14,277
ENSG00000123268,270,164,280,589
ENSG00000123297,518,599,1032,1490
ENSG00000123307,0,0,0,0
ENSG00000123329,66,154,175,269
ENSG00000123338,114,250,395,516
ENSG00000123342,34,82,179,145
ENSG00000123349,3286,3355,11749,7694
ENSG00000123352,236,249,270,131
ENSG00000123353,899,571,1302,891
ENSG00000123358,533,177,915,3334
ENSG00000123360,73,40,51,84
ENSG00000123364,0,0,0,0
ENSG00000123374,358,274,571,492
ENSG00000123384,27746,17562,12032,30777
ENSG00000123388,0,0,0,0
ENSG00000123395,466,381,785,904
ENSG00000123405,3,8,0,108
ENSG00000123407,0,0,0,0
ENSG00000123411,78,37,50,84
ENSG00000123415,394,491,1403,1099
ENSG00000123416,1158,1314,1535,1604
ENSG00000123427,201,169,147,228
ENSG00000123444,159,87,49,294
ENSG00000123447,0,0,0,0
ENSG00000123453,5751,1366,4479,15049
ENSG00000123454,74,58,12,1858
ENSG00000123472,1352,1188,1495,3471
ENSG00000123473,29,48,114,14
ENSG00000123485,25,109,280,3
ENSG00000123496,1,16,19,142
ENSG00000123500,1,3,4,3
ENSG00000123505,684,712,1029,1436
ENSG00000123545,358,188,563,651
ENSG00000123552,120,40,86,125
ENSG00000123560,1,0,0,44
ENSG00000123561,1219,13184,7903,11821
ENSG00000123562,3806,3373,3373,5394
ENSG00000123569,0,0,0,0
ENSG00000123570,1,5,3,8
ENSG00000123572,0,1,0,28
ENSG00000123575,601,453,389,673
ENSG00000123576,0,0,0,0
ENSG00000123584,0,0,0,0
ENSG00000123594,0,0,0,0
ENSG00000123595,266,267,509,566
ENSG00000123600,111,117,157,269
ENSG00000123607,220,160,225,377
ENSG00000123609,307,287,592,720
ENSG00000123610,1,2,2,18
ENSG00000123612,90,37,52,181
ENSG00000123636,411,229,244,591
ENSG00000123643,504,150,99,150
ENSG00000123684,8168,10492,2070,3072
ENSG00000123685,10,14,58,23
ENSG00000123689,2604,10424,321,2556
ENSG00000123700,110,29,14,68
ENSG00000123728,1097,679,671,1654
ENSG00000123737,453,318,1542,364
ENSG00000123739,1003,952,1519,1621
ENSG00000123810,27,51,157,128
ENSG00000123815,576,714,1058,996
ENSG00000123836,259,1403,104,230
ENSG00000123838,57484,83939,24592,64226
ENSG00000123843,10267,14545,11324,12239
ENSG00000123870,6,5,0,7
ENSG00000123892,1,4,29,20
ENSG00000123901,4,1,0,22
ENSG00000123908,369,360,582,639
ENSG00000123933,1001,1570,1069,1711
ENSG00000123965,6,19,12,33
ENSG00000123975,180,367,528,152
ENSG00000123977,0,0,0,0
ENSG00000123983,2232,1860,1026,2938
ENSG00000123989,6324,3006,3412,4504
ENSG00000123992,1705,1480,2703,3279
ENSG00000123999,0,0,1,5
ENSG00000124003,16,4,21,37
ENSG00000124006,83,122,2259,1676
ENSG00000124019,12,7,182,30
ENSG00000124067,1042,762,740,965
ENSG00000124074,227,270,555,311
ENSG00000124089,0,0,0,0
ENSG00000124091,1,0,0,1
ENSG00000124092,0,8,24,2
ENSG00000124097,2,10,1,2
ENSG00000124098,2080,2690,4292,6070
ENSG00000124102,2,312,26,20
ENSG00000124103,1,0,3,1
ENSG00000124104,186,254,535,321
ENSG00000124107,38661,3964,17130,2873
ENSG00000124116,0,0,6,5
ENSG00000124120,534,579,2331,3048
ENSG00000124126,259,906,647,750
ENSG00000124134,1,17,0,0
ENSG00000124140,5,4,40,24
ENSG00000124143,1,0,0,1
ENSG00000124145,13837,5791,27932,17180
ENSG00000124151,827,530,518,1086
ENSG00000124155,5646,3477,4367,4089
ENSG00000124157,1,0,0,0
ENSG00000124159,1,3,6,7
ENSG00000124160,339,551,564,558
ENSG00000124164,981,1149,1281,2754
ENSG00000124171,177,204,149,255
ENSG00000124172,3250,5180,18906,8427
ENSG00000124177,455,337,284,829
ENSG00000124181,462,489,540,560
ENSG00000124191,314,48,191,151
ENSG00000124193,2048,2403,2705,3004
ENSG00000124194,0,4,0,0
ENSG00000124196,0,1,0,0
ENSG00000124198,2035,2046,669,1895
ENSG00000124201,1279,972,784,1012
ENSG00000124203,4,24,31,28
ENSG00000124205,2,0,10,0
ENSG00000124207,992,938,1520,2019
ENSG00000124208,2,0,0,0
ENSG00000124209,766,926,666,873
ENSG00000124212,57,134,174,1085
ENSG00000124214,6758,5617,2236,5957
ENSG00000124215,6,1,1,5
ENSG00000124216,42,69,169,77
ENSG00000124217,183,211,232,396
ENSG00000124222,686,996,948,874
ENSG00000124224,28,44,57,45
ENSG00000124225,193,99,159,227
ENSG00000124226,884,2039,1673,2217
ENSG00000124227,0,0,0,0
ENSG00000124228,770,710,990,993
ENSG00000124232,1,0,2,0
ENSG00000124233,0,0,0,0
ENSG00000124237,0,0,0,0
ENSG00000124243,42,73,62,50
ENSG00000124249,0,51,1,8
ENSG00000124251,2,7,3,7
ENSG00000124253,45245,37161,84460,106501
ENSG00000124256,3,21,60,24
ENSG00000124257,12,15,61,40
ENSG00000124260,0,0,0,0
ENSG00000124275,617,392,444,1340
ENSG00000124279,190,139,149,286
ENSG00000124299,7048,5881,6748,10542
ENSG00000124302,2,1,0,9
ENSG00000124313,120,20,65,105
ENSG00000124333,1792,756,746,1963
ENSG00000124334,0,0,0,4
ENSG00000124343,33,0,0,88
ENSG00000124356,569,475,491,884
ENSG00000124357,472,671,1254,1069
ENSG00000124370,416,315,492,966
ENSG00000124374,534,81,749,2105
ENSG00000124380,343,317,454,559
ENSG00000124383,540,605,614,783
ENSG00000124391,0,0,0,0
ENSG00000124399,0,1,0,0
ENSG00000124406,125,59,139,137
ENSG00000124422,1334,1335,2495,4649
ENSG00000124429,734,2,0,22
ENSG00000124440,19,11,33,53
ENSG00000124444,219,339,640,560
ENSG00000124449,0,0,1,0
ENSG00000124459,143,75,100,240
ENSG00000124466,10,11,43,30
ENSG00000124467,0,0,0,0
ENSG00000124469,0,0,0,0
ENSG00000124479,0,1,1,0
ENSG00000124486,4290,1405,2854,4988
ENSG00000124490,0,0,0,0
ENSG00000124491,267,66,86,124
ENSG00000124493,0,0,0,0
ENSG00000124496,49,38,45,76
ENSG00000124507,2,44,13,14
ENSG00000124508,240,522,217,179
ENSG00000124523,769,464,751,2023
ENSG00000124532,1580,780,897,1386
ENSG00000124535,649,1024,747,1312
ENSG00000124541,520,711,1415,790
ENSG00000124549,40,50,35,18
ENSG00000124557,0,0,1,2
ENSG00000124562,1236,1929,3399,2150
ENSG00000124564,100,92,593,1620
ENSG00000124568,894,56,1304,1981
ENSG00000124570,890,1408,2984,1848
ENSG00000124571,601,498,607,702
ENSG00000124574,378,259,174,172
ENSG00000124575,0,0,2,0
ENSG00000124587,804,1008,2372,2825
ENSG00000124588,3647,2894,2313,4370
ENSG00000124593,158,96,143,135
ENSG00000124596,541,595,977,1279
ENSG00000124602,31,888,194,356
ENSG00000124608,613,645,300,504
ENSG00000124610,0,5,0,0
ENSG00000124613,1,2,2,18
ENSG00000124614,1155,1976,6020,5277
ENSG00000124615,907,1685,1823,2643
ENSG00000124635,5,12,30,3
ENSG00000124641,205,357,229,347
ENSG00000124657,0,2,6,0
ENSG00000124659,248,482,510,471
ENSG00000124664,4,0,0,1
ENSG00000124678,1,0,8,9
ENSG00000124688,256,387,585,751
ENSG00000124701,1,2,3,3
ENSG00000124702,2164,2219,5693,4613
ENSG00000124713,3113,1210,25482,8103
ENSG00000124721,1,3,0,0
ENSG00000124731,8,3,11,149
ENSG00000124733,1063,1551,2580,1652
ENSG00000124743,7,14,14,8
ENSG00000124749,69,26,64,56
ENSG00000124762,4097,4494,13941,9085
ENSG00000124766,147,283,114,201
ENSG00000124767,1543,1945,3638,7063
ENSG00000124772,17,43,74,31
ENSG00000124780,8,27,21,42
ENSG00000124782,2121,1256,1965,2289
ENSG00000124783,4147,4638,3083,5097
ENSG00000124784,252,318,277,328
ENSG00000124785,37,62,66,171
ENSG00000124786,645,613,547,987
ENSG00000124787,121,151,139,216
ENSG00000124788,719,220,400,1035
ENSG00000124789,820,627,495,1267
ENSG00000124795,1234,1212,1513,2114
ENSG00000124802,74,149,149,145
ENSG00000124812,0,1,1,0
ENSG00000124813,15,16,36,34
ENSG00000124818,0,1,0,0
ENSG00000124827,0,0,0,1
ENSG00000124831,2320,1099,1538,2676
ENSG00000124835,0,0,0,0
ENSG00000124839,2157,2072,6735,5791
ENSG00000124875,0,11,38,74
ENSG00000124882,1,2,4,8
ENSG00000124900,0,0,0,0
ENSG00000124915,0,0,1,16
ENSG00000124920,1270,1309,1517,662
ENSG00000124935,333,0,0,0
ENSG00000124939,145,0,0,1
ENSG00000124942,20242,7643,7214,11970
ENSG00000125037,2431,1302,3511,3549
ENSG00000125046,0,63,24,6
ENSG00000125084,0,1,0,0
ENSG00000125089,630,433,435,896
ENSG00000125107,2122,1581,970,3872
ENSG00000125122,65,36,67,95
ENSG00000125124,385,428,195,515
ENSG00000125144,736,363,4600,8784
ENSG00000125148,13013,6569,23874,28946
ENSG00000125149,1285,1353,350,2205
ENSG00000125166,9357,6895,8298,19499
ENSG00000125170,638,598,1510,1476
ENSG00000125207,1,0,5,5
ENSG00000125245,1,13,14,14
ENSG00000125246,1102,898,1398,2565
ENSG00000125247,338,288,303,719
ENSG00000125249,693,812,676,530
ENSG00000125255,0,0,0,0
ENSG00000125257,471,382,249,219
ENSG00000125266,265,216,292,498
ENSG00000125285,0,0,2,0
ENSG00000125304,9059,4120,4719,11795
ENSG00000125319,15,33,280,17
ENSG00000125337,1,2,89,44
ENSG00000125347,652,1435,1624,1257
ENSG00000125351,144,116,266,127
ENSG00000125352,214,266,630,441
ENSG00000125354,1132,1277,1554,1675
ENSG00000125355,5,6,2,18
ENSG00000125356,2322,2956,5046,4359
ENSG00000125363,0,0,0,0
ENSG00000125375,255,260,358,673
ENSG00000125378,30,93,64,206
ENSG00000125384,7,21,19,56
ENSG00000125385,0,0,0,0
ENSG00000125386,538,340,303,389
ENSG00000125388,48,54,57,68
ENSG00000125398,396,571,353,220
ENSG00000125409,0,1,2,1
ENSG00000125414,0,0,0,0
ENSG00000125430,1369,459,375,3419
ENSG00000125434,78,67,63,32
ENSG00000125445,973,1132,3379,2982
ENSG00000125447,496,526,730,534
ENSG00000125449,206,258,930,388
ENSG00000125450,635,406,1700,771
ENSG00000125454,65,82,197,106
ENSG00000125457,586,253,785,515
ENSG00000125458,220,178,1158,610
ENSG00000125459,143,394,257,134
ENSG00000125462,11,58,13,1
ENSG00000125482,98,119,178,196
ENSG00000125484,348,188,359,674
ENSG00000125485,189,165,251,301
ENSG00000125492,0,1,0,0
ENSG00000125498,2,2,0,9
ENSG00000125503,925,1832,1950,1578
ENSG00000125505,1285,1672,1881,1019
ENSG00000125508,10,5,3,8
ENSG00000125510,8,25,32,43
ENSG00000125514,0,0,0,0
ENSG00000125520,3272,2333,4065,7082
ENSG00000125522,0,0,0,0
ENSG00000125531,0,0,1,2
ENSG00000125533,0,0,0,0
ENSG00000125534,6589,9207,2957,1607
ENSG00000125538,10,32,11,1041
ENSG00000125551,76,48,117,633
ENSG00000125571,0,0,2,0
ENSG00000125611,445,354,1695,1182
ENSG00000125618,7,76,92,27
ENSG00000125629,503,948,935,2143
ENSG00000125630,399,382,384,900
ENSG00000125631,1,0,0,0
ENSG00000125633,288,341,341,647
ENSG00000125637,2267,1604,3010,4661
ENSG00000125648,2460,1772,1730,2499
ENSG00000125650,40,54,183,120
ENSG00000125651,1307,1378,1973,2028
ENSG00000125652,1324,1549,8644,5554
ENSG00000125656,920,1232,3778,2712
ENSG00000125657,1,92,2,31
ENSG00000125675,2,17,80,102
ENSG00000125676,691,431,438,686
ENSG00000125686,372,292,645,677
ENSG00000125691,5507,8072,40019,20143
ENSG00000125695,0,0,0,0
ENSG00000125703,223,209,241,433
ENSG00000125726,1,5,11,3
ENSG00000125730,544239,491902,474735,784195
ENSG00000125731,25,74,112,29
ENSG00000125733,272,476,530,207
ENSG00000125734,1314,1517,1797,2521
ENSG00000125735,267,2604,203,191
ENSG00000125740,170,91,1937,29062
ENSG00000125741,485,570,1129,1174
ENSG00000125743,955,2531,6271,2597
ENSG00000125744,82,94,801,150
ENSG00000125746,474,589,727,486
ENSG00000125753,1377,1030,1429,1440
ENSG00000125755,1979,1822,5086,2437
ENSG00000125772,332,234,345,489
ENSG00000125775,271,458,380,227
ENSG00000125779,302,386,571,642
ENSG00000125780,61,358,259,30
ENSG00000125787,2,0,205,48
ENSG00000125788,0,0,0,0
ENSG00000125798,698,873,1214,2348
ENSG00000125804,0,2,0,0
ENSG00000125810,1011,454,654,1101
ENSG00000125812,245,244,266,305
ENSG00000125813,0,0,0,0
ENSG00000125814,146,242,149,165
ENSG00000125815,0,0,0,0
ENSG00000125816,0,0,0,0
ENSG00000125817,1922,1682,5508,2454
ENSG00000125818,3964,3911,3550,6774
ENSG00000125820,1,1,0,0
ENSG00000125821,344,115,605,466
ENSG00000125823,0,0,1,0
ENSG00000125826,1791,3716,3704,2344
ENSG00000125827,2596,1254,2467,3659
ENSG00000125831,0,0,0,0
ENSG00000125834,402,417,489,1046
ENSG00000125835,1910,3032,5240,2329
ENSG00000125841,62,64,127,280
ENSG00000125843,332,458,598,789
ENSG00000125844,29911,17256,9713,19132
ENSG00000125845,525,344,232,193
ENSG00000125846,138,170,319,143
ENSG00000125848,1113,280,79,489
ENSG00000125850,0,0,4,7
ENSG00000125851,0,0,0,39
ENSG00000125861,0,0,0,0
ENSG00000125863,629,1003,1874,2178
ENSG00000125864,16,12,34,8
ENSG00000125868,5678,4339,4127,6454
ENSG00000125869,0,2,9,5
ENSG00000125870,605,834,1200,1267
ENSG00000125871,199,359,401,345
ENSG00000125872,0,2,6,10
ENSG00000125875,738,1455,792,867
ENSG00000125877,603,1143,1481,1211
ENSG00000125878,5,16,46,1
ENSG00000125879,0,0,0,0
ENSG00000125885,93,135,134,115
ENSG00000125888,0,1,0,0
ENSG00000125895,19,79,48,36
ENSG00000125898,77,167,287,126
ENSG00000125899,0,0,0,0
ENSG00000125900,0,0,1,0
ENSG00000125901,717,1274,4000,2670
ENSG00000125903,0,0,0,0
ENSG00000125910,30,39,128,142
ENSG00000125912,2801,3564,3657,3227
ENSG00000125931,2,8,1,4
ENSG00000125944,1305,1311,1284,1908
ENSG00000125945,178,142,138,110
ENSG00000125952,523,949,936,953
ENSG00000125954,1,0,0,2
ENSG00000125962,157,98,133,322
ENSG00000125965,0,2,4,0
ENSG00000125966,17,31,19,33
ENSG00000125967,748,1303,4409,524
ENSG00000125968,430,1526,2931,1796
ENSG00000125970,1806,1647,3472,2539
ENSG00000125971,1404,1898,2831,1936
ENSG00000125975,0,0,0,0
ENSG00000125977,986,1802,2208,2050
ENSG00000125991,5991,4055,8174,8165
ENSG00000125995,980,1227,4598,2411
ENSG00000125997,0,0,0,0
ENSG00000125998,0,0,1,1
ENSG00000125999,0,30,0,0
ENSG00000126001,369,540,668,431
ENSG00000126003,168,203,144,214
ENSG00000126005,640,1748,1190,1315
ENSG00000126010,2,0,0,1
ENSG00000126012,2076,921,944,1573
ENSG00000126016,72,53,104,247
ENSG00000126062,1265,1147,2167,1714
ENSG00000126067,3993,2697,4722,4368
ENSG00000126070,221,137,230,408
ENSG00000126088,3111,2223,4386,3958
ENSG00000126091,412,452,515,654
ENSG00000126106,867,1097,1818,2250
ENSG00000126107,1460,1119,1262,1508
ENSG00000126214,249,281,661,213
ENSG00000126215,126,143,390,56
ENSG00000126216,315,300,455,802
ENSG00000126217,330,358,316,373
ENSG00000126218,5032,2713,9793,13199
ENSG00000126226,366,477,568,755
ENSG00000126231,849,87,1346,2217
ENSG00000126233,0,0,0,0
ENSG00000126243,673,553,647,452
ENSG00000126246,16,54,207,75
ENSG00000126247,5928,6334,8646,4782
ENSG00000126249,97,122,162,121
ENSG00000126251,0,0,1,1
ENSG00000126254,1684,2187,3727,2248
ENSG00000126259,0,0,1,0
ENSG00000126261,940,1087,937,1504
ENSG00000126262,6,12,9,110
ENSG00000126264,44,71,311,110
ENSG00000126266,0,0,0,0
ENSG00000126267,4908,5139,12086,8549
ENSG00000126337,0,1,1,0
ENSG00000126351,531,269,490,963
ENSG00000126353,8,33,101,36
ENSG00000126368,695,631,952,1824
ENSG00000126391,714,665,714,614
ENSG00000126432,4979,3455,13288,9912
ENSG00000126453,245,527,1094,457
ENSG00000126456,1083,1932,2227,1058
ENSG00000126457,827,1364,1640,1497
ENSG00000126458,499,1011,1935,564
ENSG00000126460,254,14,640,300
ENSG00000126461,2242,1635,2716,1717
ENSG00000126464,547,661,296,575
ENSG00000126467,1,4,10,5
ENSG00000126500,5,1,6,2
ENSG00000126522,13089,5024,18006,15420
ENSG00000126524,2249,2208,1552,3782
ENSG00000126545,0,0,0,0
ENSG00000126549,0,0,0,0
ENSG00000126550,0,0,0,0
ENSG00000126561,333,311,965,597
ENSG00000126562,2,175,37,11
ENSG00000126581,733,651,516,1193
ENSG00000126583,0,1,0,0
ENSG00000126602,1696,2553,1236,4352
ENSG00000126603,55,137,132,122
ENSG00000126653,390,251,619,685
ENSG00000126698,1295,1280,2257,2322
ENSG00000126705,392,308,473,710
ENSG00000126709,8136,2205,7035,737
ENSG00000126733,1,0,0,0
ENSG00000126746,236,183,64,268
ENSG00000126749,249,265,628,563
ENSG00000126752,263,1,743,0
ENSG00000126756,989,834,2493,2364
ENSG00000126759,23,154,404,1107
ENSG00000126767,565,494,802,1613
ENSG00000126768,656,753,2153,1343
ENSG00000126773,321,189,369,840
ENSG00000126775,322,324,298,228
ENSG00000126777,3838,2498,3907,4834
ENSG00000126778,127,12,2,0
ENSG00000126785,157,91,125,111
ENSG00000126787,44,74,124,4
ENSG00000126790,190,420,155,212
ENSG00000126803,130,369,333,179
ENSG00000126804,260,306,160,411
ENSG00000126814,301,272,305,392
ENSG00000126821,720,512,504,1144
ENSG00000126822,1620,696,1409,1137
ENSG00000126838,22,23,48,2034
ENSG00000126856,0,1,0,0
ENSG00000126858,483,373,528,782
ENSG00000126860,37,36,93,216
ENSG00000126861,2,7,4,18
ENSG00000126870,201,141,109,186
ENSG00000126878,125,158,278,154
ENSG00000126882,40,146,218,126
ENSG00000126883,1313,902,1220,1662
ENSG00000126890,215,0,0,0
ENSG00000126895,13,3,11,4
ENSG00000126903,182,276,226,236
ENSG00000126934,2176,3746,6523,3785
ENSG00000126945,1580,1436,1547,2672
ENSG00000126947,33,41,83,111
ENSG00000126950,1,1,1,0
ENSG00000126952,0,0,0,0
ENSG00000126953,96,227,669,645
ENSG00000126970,100,47,76,262
ENSG00000127022,31179,34171,10448,25315
ENSG00000127054,1561,1252,3075,1983
ENSG00000127074,0,0,0,1
ENSG00000127080,33,31,6,80
ENSG00000127081,29,32,39,61
ENSG00000127083,7,12,21,19
ENSG00000127084,40,116,255,238
ENSG00000127124,142,67,96,106
ENSG00000127125,1049,889,1276,2633
ENSG00000127129,1,9,85,15
ENSG00000127152,12,39,33,76
